# Phys.Lett. B223 (1989) 485-489,,,
# x,Q2,F2,err
# 100 GeV beam energy,,,
0.65,65.5,0.0356,0.00231
0.65,75,0.03168,0.00243
0.65,86,0.03041,0.00251
0.65,99,0.03436,0.00295
0.75,32.5,0.01335,0.00075
0.75,37.5,0.01194,0.00084
0.75,43,0.01238,0.00091
0.75,49.5,0.01155,0.00097
0.75,57,0.01169,0.00105
0.75,65.5,0.01056,0.00117
0.75,75,0.00992,0.00124
0.75,86,0.00961,0.00134
0.75,99,0.00815,0.00131
# 200 GeV beam energy,,,
0.07,17,0.39928,0.00521
0.07,19,0.39989,0.00527
0.1,19,0.39548,0.00407
0.1,21.5,0.39338,0.00317
0.1,24.5,0.39402,0.00339
0.14,21.5,0.37841,0.00361
0.14,24.5,0.37991,0.00378
0.14,28,0.37499,0.00362
0.14,32.5,0.36709,0.00356
0.18,21.5,0.35061,0.00419
0.18,24.5,0.36077,0.00434
0.18,28,0.36004,0.00413
0.18,32.5,0.34712,0.00288
0.18,37.5,0.34052,0.00302
0.18,43,0.34255,0.00301
0.225,28,0.32246,0.00384
0.225,32.5,0.32715,0.00365
0.225,37.5,0.31302,0.00276
0.225,43,0.31337,0.00269
0.225,49.5,0.30607,0.00264
0.225,57,0.31349,0.00363
0.275,28,0.28822,0.00409
0.275,32.5,0.28252,0.00372
0.275,37.5,0.27908,0.0029
0.275,43,0.27264,0.00272
0.275,49.5,0.27001,0.00272
0.275,57,0.27276,0.00292
0.275,65.5,0.26985,0.00361
0.275,75,0.26068,0.00385
0.35,32.5,0.22221,0.00276
0.35,37.5,0.21985,0.00209
0.35,43,0.21666,0.00201
0.35,49.5,0.21473,0.00196
0.35,57,0.2141,0.00203
0.35,65,0.20758,0.0021
0.35,75,0.20193,0.00258
0.35,86,0.20554,0.00273
0.35,99,0.20033,0.00297
0.45,32.5,0.14298,0.00266
0.45,37.5,0.13689,0.00276
0.45,43,0.13873,0.00183
0.45,49.5,0.13676,0.00179
0.45,57,0.13594,0.00185
0.45,65,0.1303,0.00183
0.45,75,0.12735,0.00225
0.45,86,0.13085,0.00235
0.45,99,0.12724,0.00243
0.45,115.5,0.12334,0.00239
0.55,32.5,0.07733,0.00202
0.55,37.5,0.08019,0.00227
0.55,43,0.07591,0.00135
0.55,49.5,0.07558,0.00136
0.55,57,0.07589,0.00145
0.55,65.5,0.0709,0.00142
0.55,75,0.07022,0.00155
0.55,86,0.07299,0.00191
0.55,99,0.06683,0.00188
0.55,115.5,0.06513,0.00185
0.55,137.5,0.06621,0.00196
0.65,32.5,0.03721,0.00122
0.65,37.5,0.03407,0.0013
0.65,43,0.03538,0.00078
0.65,49.5,0.03512,0.00083
0.65,57,0.03327,0.00086
0.65,65,0.03248,0.00092
0.65,75,0.03213,0.001
0.65,86,0.03359,0.00126
0.65,99,0.0308,0.00128
0.65,115.5,0.02839,0.00125
0.65,137.5,0.0278,0.0013
0.75,43,0.01252,0.00042
