# Z. Phys. C 69 (95) 607,,,,
1.5,0.0001,0.59,0.05,0.16
1.5,0.00021,0.57,0.04,0.1
3,0.00021,0.79,0.06,0.12
3,0.00042,0.77,0.05,0.13
4.5,0.00021,1.2,0.12,0.21
4.5,0.00042,0.77,0.05,0.18
4.5,0.00085,0.7,0.05,0.09
8.5,0.00042,0.9,0.11,0.2
8.5,0.00085,0.93,0.1,0.17
8.5,0.0017,0.76,0.06,0.18
15,0.00085,1.39,0.2,0.33
15,0.0017,0.91,0.11,0.1
15,0.004,0.76,0.09,0.14
