1.5,0.00003,0.969,0.176,0.187,0.71
1.5,0.00025,0.54,0.055,0.104,0.75
1.5,0.00063,0.458,0.05,0.101,0.74
1.5,0.00158,0.365,0.045,0.095,0.7
1.5,0.00398,0.381,0.07,0.087,0.63
2,0.00005,1.037,0.077,0.11,0.65
2.5,0.00008,0.885,0.052,0.065,0.8
2.5,0.00013,0.874,0.079,0.127,0.8
2.5,0.00025,0.622,0.037,0.119,0.8
2.5,0.00063,0.621,0.039,0.093,0.79
2.5,0.00158,0.466,0.033,0.072,0.75
2.5,0.00398,0.402,0.039,0.062,0.65
3.5,0.00008,1.036,0.053,0.092,0.64
3.5,0.00013,1.026,0.045,0.067,0.64
3.5,0.0002,0.934,0.041,0.075,0.64
3.5,0.00032,0.854,0.046,0.093,0.64
3.5,0.0005,0.716,0.041,0.119,0.64
3.5,0.0008,0.712,0.049,0.126,0.63
3.5,0.0013,0.778,0.058,0.137,0.61
3.5,0.0025,0.621,0.043,0.157,0.59
3.5,0.00398,0.458,0.046,0.075,0.54
5,0.00013,1.106,0.049,0.074,0.54
5,0.0002,1.033,0.044,0.069,0.54
5,0.00032,0.907,0.039,0.066,0.54
5,0.0005,0.839,0.039,0.076,0.53
5,0.0008,0.769,0.037,0.063,0.53
5,0.0013,0.63,0.034,0.05,0.51
5,0.002,0.54,0.033,0.043,0.5
5,0.004,0.5,0.029,0.086,0.46
6.5,0.00013,1.292,0.085,0.127,0.49
6.5,0.0002,1.101,0.052,0.072,0.48
6.5,0.00032,0.963,0.045,0.068,0.48
6.5,0.0005,0.926,0.044,0.088,0.48
6.5,0.0008,0.848,0.038,0.076,0.47
6.5,0.0013,0.759,0.039,0.068,0.46
6.5,0.0025,0.667,0.029,0.054,0.43
6.5,0.0063,0.504,0.029,0.084,0.37
8.5,0.0002,1.215,0.05,0.062,0.44
8.5,0.00032,1.089,0.038,0.048,0.44
8.5,0.0005,1.033,0.034,0.062,0.43
8.5,0.0008,0.923,0.031,0.038,0.43
8.5,0.0013,0.811,0.03,0.047,0.42
8.5,0.002,0.77,0.034,0.049,0.4
8.5,0.0032,0.562,0.028,0.043,0.38
8.5,0.005,0.648,0.033,0.051,0.36
8.5,0.008,0.564,0.032,0.049,0.33
12,0.00032,1.276,0.02,0.055,0.39
12,0.0005,1.168,0.016,0.056,0.39
12,0.0008,1.067,0.015,0.061,0.38
12,0.0013,0.942,0.015,0.039,0.37
12,0.002,0.866,0.016,0.057,0.36
12,0.0032,0.749,0.016,0.055,0.34
12,0.005,0.685,0.016,0.061,0.32
12,0.008,0.618,0.016,0.057,0.3
12,0.013,0.531,0.017,0.049,0.26
15,0.00032,1.426,0.03,0.064,0.37
15,0.0005,1.28,0.02,0.05,0.36
15,0.0008,1.11,0.018,0.057,0.35
15,0.0013,1.008,0.016,0.033,0.35
15,0.002,0.895,0.015,0.046,0.34
15,0.0032,0.773,0.014,0.036,0.32
15,0.005,0.677,0.014,0.035,0.3
15,0.008,0.634,0.014,0.031,0.28
15,0.013,0.547,0.013,0.027,0.24
20,0.0005,1.407,0.026,0.054,0.34
20,0.0008,1.21,0.022,0.05,0.33
