# Nucl. Phys. B 483 (97) 3,,,,
# x,Q2,F2,stat,syst
0.35,20,0.2257,0.0058,0.0045
0.35,27,0.2156,0.0044,0.0046
0.35,36,0.2163,0.0048,0.0054
0.35,48,0.2207,0.0065,0.0061
0.35,65,0.2333,0.0192,0.0074
0.5,5.5,0.1558,0.0158,0.0182
0.5,7,0.1654,0.0077,0.0161
0.5,9,0.1377,0.0063,0.0107
0.5,11.5,0.1443,0.0081,0.0085
0.5,15,0.1344,0.0101,0.0055
0.5,20,0.1192,0.0059,0.005
0.5,27,0.1185,0.0035,0.0051
0.5,36,0.1112,0.0028,0.0049
0.5,48,0.1042,0.0034,0.0049
0.5,65,0.1092,0.0088,0.0057
